proposed_entity_code,entity_class,dbset,module,domain,file,primary_key,company_field,branch_field,status_field,soft_delete,polymorphic_host,in_entity_registry,timeline_wired,comments_wired,business_events,notification_type,files_support,followers_support,relations_support,workflow_support,search_support,ai_context,audit_history
JobApplication,JobApplication,JobApplications,HR,Admin,CrossBuy/Models/Context/Admin/Recruitment.cs,ID,CompanyID,BranchID,Status,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
TrainingCourse,TrainingCourse,TrainingCourses,HR,Admin,CrossBuy/Models/Context/Admin/Training.cs,ID,CompanyID,(none),IsActive,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
AttendanceRecord,AttendanceRecord,AttendanceRecords,HR,Admin,CrossBuy/Models/Context/Admin/AttendanceRecord.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
EmploymentContract,EmploymentContract,EmploymentContracts,HR,Admin,CrossBuy/Models/Context/Admin/EmploymentContract.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
FinalSettlement,FinalSettlement,FinalSettlements,HR,Admin,CrossBuy/Models/Context/Admin/FinalSettlement.cs,ID,CompanyID,(none),(none),False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
Project,Project,Projects,Projects,Accounting,CrossBuy/Models/Context/Accounting/Dimensions.cs,ID,CompanyID,(none),Status,False,False,True,False,False,0,yes,False,False,False,none,registry,False,CreatedAt/By only
Contract,ProjectContract,(none),Projects,,(not found),,(none),(none),(none),,,False,False,False,0,no,False,False,False,none,screen-local,False,none
TaskItem,TaskItem,TaskItems,Tasks,Tasks,CrossBuy/Models/Context/Tasks/TaskItem.cs,ID,CompanyId,(none),Status,False,True,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
TimesheetEntry,TimesheetEntry,TimesheetEntries,Tasks,Tasks,CrossBuy/Models/Context/Tasks/TimesheetEntry.cs,ID,CompanyId,(none),(none),False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
CrmLead,Lead,Leads,CRM,Crm,CrossBuy/Models/Context/Crm/Crm.cs,ID,CompanyID,(none),Status,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
CrmOpportunity,Opportunity,Opportunities,CRM,Crm,CrossBuy/Models/Context/Crm/Crm.cs,ID,CompanyID,(none),(none),False,False,False,False,False,0,yes,False,False,False,none,screen-local,False,CreatedAt/By only
CrmAccount,CrmAccount,CrmAccounts,CRM,Crm,CrossBuy/Models/Context/Crm/Crm.cs,ID,CompanyID,(none),IsActive,False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
CrmContact,CrmContact,CrmContacts,CRM,Crm,CrossBuy/Models/Context/Crm/Crm.cs,ID,CompanyID,(none),(none),False,False,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
CrmTicket,Ticket,(none),CRM,,(not found),,(none),(none),(none),,,False,False,False,0,yes,False,False,False,none,screen-local,False,none
Activity,Activity,Activities,CRM,Crm,CrossBuy/Models/Context/Crm/Crm.cs,ID,CompanyID,(none),(none),False,True,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
Notification,Notification,Notifications,Communication,Admin,CrossBuy/Models/Context/Admin/Notification.cs,ID,CompanyID,BranchID,(none),False,True,False,False,False,0,yes,False,False,False,none,screen-local,False,none
Conversation,Conversation,Conversations,Communication,Chat,CrossBuy/Models/Context/Chat/Chat.cs,ID,CompanyID,(none),(none),False,False,False,False,False,0,yes,False,False,False,none,screen-local,False,CreatedAt/By only
ChatMessage,ChatMessage,ChatMessages,Communication,Chat,CrossBuy/Models/Context/Chat/Chat.cs,ID,(none),(none),(none),True,False,False,False,False,0,yes,False,False,False,none,screen-local,False,CreatedAt/By only
CommMessage,CommMessage,CommMessages,Communication,Comm,CrossBuy/Models/Context/Comm/CommMessage.cs,Id,CompanyID,(none),Status,True,False,False,False,False,0,no,False,False,False,none,screen-local,False,none
Announcement,Announcement,Announcements,Communication,Comm,CrossBuy/Models/Context/Comm/Announcement.cs,Id,CompanyID,BranchID,IsActive,False,False,False,False,False,0,yes,False,False,False,none,screen-local,False,none
CalendarEvent,CalendarEvent,CalendarEvents,Communication,Calendar,CrossBuy/Models/Context/Calendar/CalendarEvent.cs,Id,CompanyID,(none),(none),True,False,False,False,False,0,yes,False,False,False,none,screen-local,False,none
LibraryItem,LibraryItem,LibraryItems,Communication,Library,CrossBuy/Models/Context/Library/LibraryItem.cs,Id,CompanyID,(none),(none),True,False,False,False,False,0,no,False,False,False,none,screen-local,False,none
DocComment,DocComment,DocComments,Communication,Comm,CrossBuy/Models/Context/Comm/DocComment.cs,Id,CompanyID,(none),(none),True,True,False,False,False,0,yes,False,False,False,none,screen-local,False,none
BusinessEvent,BusinessEvent,BusinessEvents,Platform,Platform,CrossBuy/Models/Context/Platform/BusinessEvent.cs,EventId,CompanyID,BranchID,(none),False,True,False,False,False,0,no,False,False,False,none,screen-local,False,CreatedAt/By only
